City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,country,Date
Mataura,-46.1927,168.8643,50.49,71,41,3.11,NZ,1627004508
Methóni,36.8197,21.7049,78.22,79,0,4.29,GR,1627004101
Ushuaia,-54.8,-68.3,38.86,70,75,4.61,AR,1627004508
Bira,49.0,132.4667,92.41,44,45,4.83,RU,1627004509
Bredasdorp,-34.5322,20.0403,42.12,93,100,3.44,ZA,1627004509
Punta Arenas,-53.15,-70.9167,33.91,86,40,11.5,CL,1627004509
Gualaquiza,-3.4,-78.55,59.09,98,95,1.66,EC,1627004510
Wagga Wagga,-35.1167,147.3667,48.61,100,100,9.22,AU,1627004510
Byron Bay,-28.65,153.6167,67.05,69,99,11.68,AU,1627004308
Seoul,37.5683,126.9778,91.81,55,0,1.14,KR,1627004321
Rikitea,-23.1203,-134.9692,73.76,73,1,19.73,PF,1627004510
Busselton,-33.65,115.3333,56.05,78,96,22.12,AU,1627004511
Butaritari,3.0707,172.7902,83.08,77,100,15.79,KI,1627004511
Puerto del Rosario,28.5004,-13.8627,71.35,73,11,17.27,ES,1627004319
Atuona,-9.8,-139.0333,77.4,74,94,10.89,PF,1627004328
Tahe,52.3333,124.7333,85.39,53,25,8.9,CN,1627004512
Hobart,-42.8794,147.3294,56.26,56,40,1.99,AU,1627004307
New Norfolk,-42.7826,147.0587,55.92,56,30,4.0,AU,1627004512
Rome,43.2128,-75.4557,67.89,76,20,5.75,US,1627004512
Luanda,-8.8368,13.2343,70.56,80,100,0.6,AO,1627004327
Fortuna,40.5982,-124.1573,64.92,67,20,3.0,US,1627004408
Upernavik,72.7868,-56.1549,40.87,93,100,1.52,GL,1627004336
Lagoa,39.05,-27.9833,67.66,78,29,11.34,PT,1627004513
Tarragona,41.129,1.249,77.49,68,0,0.0,ES,1627004513
Barrow,71.2906,-156.7887,39.22,81,90,13.8,US,1627004513
Dikson,73.5069,80.5464,38.35,95,99,18.21,RU,1627004514
Pemberton,50.3164,-122.8027,73.26,47,70,5.84,CA,1627004514
Severo-Kuril'sk,50.6789,156.125,56.61,86,55,5.35,RU,1627004422
Almaznyy,48.0448,40.045,64.54,67,100,11.18,RU,1627004121
Florence,43.7667,11.25,75.29,89,0,3.44,IT,1627004515
Chifeng,42.2683,118.9636,82.44,48,18,12.28,CN,1627004515
São Filipe,14.8961,-24.4956,74.12,86,11,7.65,CV,1627004515
Hermanus,-34.4187,19.2345,42.91,73,69,9.95,ZA,1627004515
Sitka,57.0531,-135.33,60.69,72,90,4.61,US,1627004389
Baykit,61.67,96.37,72.82,49,50,2.68,RU,1627004384
Jamestown,42.097,-79.2353,65.79,67,1,1.95,US,1627004516
Avarua,-21.2078,-159.775,80.65,74,75,12.66,CK,1627004495
Ilulissat,69.2167,-51.1,44.62,81,100,3.44,GL,1627004475
Ossora,59.2353,163.0719,62.2,70,89,7.29,RU,1627004516
Iqaluit,63.7506,-68.5145,51.53,81,90,15.99,CA,1627004517
Alofi,-19.0595,-169.9187,80.49,78,75,10.36,NU,1627004517
Ust'-Kan,50.9276,84.761,64.18,88,100,3.02,RU,1627004517
Bathsheba,13.2167,-59.5167,81.21,83,40,19.57,BB,1627004518
Achí,8.5682,-74.554,77.7,97,100,1.63,CO,1627004518
Perth,-31.9333,115.8333,63.09,74,75,18.41,AU,1627004447
Hilo,19.7297,-155.09,80.33,79,90,12.66,US,1627004273
Buraidah,26.326,43.975,91.85,19,12,5.28,SA,1627004518
Mandalgovi,45.7625,106.2708,70.05,36,93,7.94,MN,1627004519
Tsuruoka,38.7217,139.8217,85.21,78,40,10.36,JP,1627004519
North Bend,43.4065,-124.2243,65.91,77,1,20.71,US,1627004519
Pevek,69.7008,170.3133,43.07,68,5,7.14,RU,1627004519
Isangel,-19.55,169.2667,80.71,78,75,3.44,VU,1627004520
Ahipara,-35.1667,173.1667,58.87,62,1,8.77,NZ,1627004520
Baharly,38.4362,57.4316,85.78,17,46,1.19,TM,1627004522
Seydi,39.4816,62.9137,84.27,19,0,7.05,TM,1627004522
Pangody,65.85,74.4859,58.39,58,100,9.86,RU,1627004522
